type,value,source
ipv4,1.13.188.57,FS-ISAC
ipv4,5.34.178.175,FS-ISAC
ipv4,5.149.250.134,FS-ISAC
ipv4,5.180.114.228,FS-ISAC
ipv4,23.26.227.102,FS-ISAC
ipv4,23.26.254.38,FS-ISAC
ipv4,23.95.72.18,FS-ISAC
ipv4,23.137.104.21,FS-ISAC
ipv4,23.230.108.68,FS-ISAC
ipv4,31.40.212.124,FS-ISAC
ipv4,37.128.252.211,FS-ISAC
ipv4,37.128.253.14,FS-ISAC
ipv4,37.143.129.74,FS-ISAC
ipv4,37.143.129.133,FS-ISAC
ipv4,37.143.130.75,FS-ISAC
ipv4,37.143.131.117,FS-ISAC
ipv4,38.6.224.20,FS-ISAC
ipv4,38.9.136.58,FS-ISAC
ipv4,38.9.141.105,FS-ISAC
ipv4,38.54.42.223,FS-ISAC
ipv4,38.54.95.148,FS-ISAC
ipv4,38.150.15.47,FS-ISAC
ipv4,38.150.15.235,FS-ISAC
ipv4,38.150.15.239,FS-ISAC
ipv4,38.180.31.87,FS-ISAC
ipv4,38.180.54.70,FS-ISAC
ipv4,38.180.79.187,FS-ISAC
ipv4,38.180.107.192,FS-ISAC
ipv4,38.207.137.134,FS-ISAC
ipv4,45.8.22.18,FS-ISAC
ipv4,45.11.1.40,FS-ISAC
ipv4,45.61.162.88,FS-ISAC
ipv4,45.86.228.99,FS-ISAC
ipv4,45.86.231.35,FS-ISAC
ipv4,45.90.58.172,FS-ISAC
ipv4,45.125.67.135,FS-ISAC
ipv4,45.128.151.24,FS-ISAC
ipv4,45.129.86.170,FS-ISAC
ipv4,45.144.242.250,FS-ISAC
ipv4,45.154.204.142,FS-ISAC
ipv4,45.154.205.200,FS-ISAC
ipv4,45.154.206.235,FS-ISAC
ipv4,46.17.42.17,FS-ISAC
ipv4,46.20.109.33,FS-ISAC
ipv4,46.29.161.108,FS-ISAC
ipv4,46.183.184.175,FS-ISAC
ipv4,50.7.1.69,FS-ISAC
ipv4,54.37.140.41,FS-ISAC
ipv4,61.111.247.100,FS-ISAC
ipv4,61.111.247.213,FS-ISAC
ipv4,62.72.163.159,FS-ISAC
ipv4,64.31.63.241,FS-ISAC
ipv4,64.31.63.253,FS-ISAC
ipv4,66.90.89.52,FS-ISAC
ipv4,78.24.205.143,FS-ISAC
ipv4,78.24.205.166,FS-ISAC
ipv4,79.141.175.250,FS-ISAC
ipv4,84.32.41.41,FS-ISAC
ipv4,86.38.247.82,FS-ISAC
ipv4,88.151.195.241,FS-ISAC
ipv4,89.46.236.169,FS-ISAC
ipv4,89.46.237.183,FS-ISAC
ipv4,89.150.57.150,FS-ISAC
ipv4,89.163.221.77,FS-ISAC
ipv4,89.251.22.10,FS-ISAC
ipv4,91.149.232.72,FS-ISAC
ipv4,91.149.239.50,FS-ISAC
ipv4,91.149.255.108,FS-ISAC
ipv4,91.193.17.158,FS-ISAC
ipv4,91.220.203.83,FS-ISAC
ipv4,91.227.77.8,FS-ISAC
ipv4,91.229.132.200,FS-ISAC
ipv4,91.229.132.204,FS-ISAC
ipv4,91.229.132.205,FS-ISAC
ipv4,92.119.157.20,FS-ISAC
ipv4,94.23.171.119,FS-ISAC
ipv4,95.164.46.36,FS-ISAC
ipv4,95.164.47.68,FS-ISAC
ipv4,95.164.87.25,FS-ISAC
ipv4,98.142.253.117,FS-ISAC
ipv4,98.142.253.173,FS-ISAC
ipv4,98.142.254.231,FS-ISAC
ipv4,102.208.216.146,FS-ISAC
ipv4,103.14.92.59,FS-ISAC
ipv4,103.14.92.176,FS-ISAC
ipv4,103.27.62.149,FS-ISAC
ipv4,103.27.63.92,FS-ISAC
ipv4,103.54.170.180,FS-ISAC
ipv4,103.75.70.132,FS-ISAC
ipv4,103.75.70.191,FS-ISAC
ipv4,103.76.85.250,FS-ISAC
ipv4,103.97.203.197,FS-ISAC
ipv4,103.116.38.61,FS-ISAC
ipv4,103.116.38.62,FS-ISAC
ipv4,103.136.43.112,FS-ISAC
ipv4,103.160.181.248,FS-ISAC
ipv4,103.168.155.67,FS-ISAC
ipv4,103.168.155.68,FS-ISAC
ipv4,103.189.235.1,FS-ISAC
ipv4,103.253.43.174,FS-ISAC
ipv4,104.28.204.107,FS-ISAC
ipv4,104.28.211.105,FS-ISAC
ipv4,104.28.243.105,FS-ISAC
ipv4,107.181.160.126,FS-ISAC
ipv4,111.90.146.124,FS-ISAC
ipv4,111.90.146.171,FS-ISAC
ipv4,120.232.81.108,FS-ISAC
ipv4,120.232.234.194,FS-ISAC
ipv4,128.254.207.23,FS-ISAC
ipv4,139.99.52.56,FS-ISAC
ipv4,141.11.86.135,FS-ISAC
ipv4,141.11.149.103,FS-ISAC
ipv4,146.66.221.75,FS-ISAC
ipv4,146.103.41.11,FS-ISAC
ipv4,147.79.59.74,FS-ISAC
ipv4,147.79.59.110,FS-ISAC
ipv4,148.113.3.1,FS-ISAC
ipv4,149.56.205.22,FS-ISAC
ipv4,151.236.26.245,FS-ISAC
ipv4,154.16.27.94,FS-ISAC
ipv4,154.16.27.95,FS-ISAC
ipv4,154.16.27.162,FS-ISAC
ipv4,154.16.27.195,FS-ISAC
ipv4,154.19.186.91,FS-ISAC
ipv4,154.29.154.83,FS-ISAC
ipv4,154.39.106.155,FS-ISAC
ipv4,154.44.14.193,FS-ISAC
ipv4,154.205.144.146,FS-ISAC
ipv4,154.205.145.177,FS-ISAC
ipv4,156.246.91.210,FS-ISAC
ipv4,156.246.92.71,FS-ISAC
ipv4,158.255.215.58,FS-ISAC
ipv4,166.1.18.81,FS-ISAC
ipv4,166.88.197.51,FS-ISAC
ipv4,176.124.33.37,FS-ISAC
ipv4,176.126.83.150,FS-ISAC
ipv4,184.174.96.132,FS-ISAC
ipv4,185.81.114.117,FS-ISAC
ipv4,185.82.218.111,FS-ISAC
ipv4,185.90.61.2,FS-ISAC
ipv4,185.90.61.82,FS-ISAC
ipv4,185.126.227.154,FS-ISAC
ipv4,185.126.238.95,FS-ISAC
ipv4,185.143.222.241,FS-ISAC
ipv4,185.160.24.143,FS-ISAC
ipv4,185.167.116.34,FS-ISAC
ipv4,185.174.135.223,FS-ISAC
ipv4,185.186.79.193,FS-ISAC
ipv4,185.213.20.185,FS-ISAC
ipv4,185.213.22.99,FS-ISAC
ipv4,185.213.22.110,FS-ISAC
ipv4,185.220.237.194,FS-ISAC
ipv4,185.225.20.103,FS-ISAC
ipv4,185.225.20.186,FS-ISAC
ipv4,185.226.172.67,FS-ISAC
ipv4,185.237.185.185,FS-ISAC
ipv4,188.132.129.173,FS-ISAC
ipv4,192.71.218.55,FS-ISAC
ipv4,192.71.244.77,FS-ISAC
ipv4,192.71.244.236,FS-ISAC
ipv4,193.31.41.171,FS-ISAC
ipv4,193.38.137.118,FS-ISAC
ipv4,193.42.36.227,FS-ISAC
ipv4,193.43.104.31,FS-ISAC
ipv4,193.57.137.25,FS-ISAC
ipv4,193.142.30.165,FS-ISAC
ipv4,193.243.147.32,FS-ISAC
ipv4,193.243.147.86,FS-ISAC
ipv4,194.4.51.120,FS-ISAC
ipv4,194.58.68.211,FS-ISAC
ipv4,194.61.120.253,FS-ISAC
ipv4,194.68.32.97,FS-ISAC
ipv4,194.105.81.57,FS-ISAC
ipv4,194.105.81.173,FS-ISAC
ipv4,194.124.33.187,FS-ISAC
ipv4,194.147.16.81,FS-ISAC
ipv4,195.20.17.240,FS-ISAC
ipv4,195.58.49.133,FS-ISAC
ipv4,195.123.232.191,FS-ISAC
ipv4,195.123.233.59,FS-ISAC
ipv4,195.123.246.48,FS-ISAC
ipv4,195.133.53.177,FS-ISAC
ipv4,195.211.98.232,FS-ISAC
ipv4,203.156.253.252,FS-ISAC
ipv4,203.159.95.13,FS-ISAC
ipv4,210.3.159.144,FS-ISAC
ipv4,210.3.159.149,FS-ISAC
ipv4,210.87.110.134,FS-ISAC
ipv4,210.87.207.237,FS-ISAC
ipv4,212.192.15.103,FS-ISAC
ipv4,216.73.157.6,FS-ISAC
ipv4,216.107.138.226,FS-ISAC
ipv4,216.185.57.67,FS-ISAC
ipv4,218.1.72.213,FS-ISAC
